Name,Year,Sex,Sire,Dam,Trainer,Flat rating,Diff Flat,Flat Clltrl,AWT rating,Diff AWT,AWT Clltrl,Chase rating,Diff Chase,Chase Clltrl,Hurdle rating,Diff Hurdle,Hurdle Clltrl
AGGAGIO (FR),2018,GELDING,BORN TO SEA (IRE),RAVAGE (GB),Gary Moore,86,,,,,,,,,111,-2,
AGILULF (GB),2019,GELDING,MONDIALISTE (IRE),TURIN (IRE),Adam Nicol,57,,,,,,,,,107,+11,
AGONYCLITE (GB),2019,GELDING,DABIRSIM (FR),HOKU (IRE),Ben Haslam,46,,,,,,,,,,,
AGOSTINO (GB),2020,COLT,HARRY ANGEL (IRE),FIRENZE (GB),Robert Cowell,69,,,,,,,,,,,
AGUAPLANO (GB),2019,GELDING,OUTSTRIP (GB),ILE FLOTTANTE (GB),Marco Botti,82,,,,,,,,,,,
AHAMOMENT (IRE),2019,GELDING,ALHEBAYEB (IRE),TAISPEANTAS (IRE),David & Nicola Barron,66,,,,,,,,,,,
AHEAD OF SCHEDULE (IRE),2015,GELDING,SHIROCCO (GER),COLLEEN BAWN (FR),Nikki Evans,,,,,,,79,,,,,
AHEAD OF THE FIELD (IRE),2015,GELDING,FLEMENSFIRTH (USA),LAST OF THE BUNCH (GB),Emma Lavelle,,,,,,,108,,,108,new,
AHLAWI (GB),2018,GELDING,SHAMARDAL (USA),LOVELY PASS (IRE),Scott Dixon,79,,,,,,,,,,,
AHORSECALLEDWANDA (GB),2017,FILLY,MUSIC MASTER (GB),LADY MASCOT (IRE),,48,,,,,,,,,,,
AHORSEWITHNONAME (GB),2015,FILLY,CACIQUE (IRE),SEA OF GALILEE (GB),Nicky Henderson,96,,,,,,,,,132,,
AHOY SENOR (IRE),2015,GELDING,DYLAN THOMAS (IRE),DARA SUPREME (IRE),Lucinda Russell,,,,,,,166,,,,,
AIGHEAR (GB),2018,FILLY,FARHH (GB),KABJOY (IRE),Jim Goldie,50,,,,,,,,,,,
AIGUILLETTE (GB),2016,GELDING,EPAULETTE (AUS),LUCKY DICE (GB),,47,,,,,,,,,,,
AIHAWAWI (IRE),2020,COLT,RIBCHESTER (IRE),HOYAMY (GB),David O'Meara,62,,,,,,,,,,,
AIKENBREAKINHEART (IRE),2015,GELDING,AIKEN (GB),STELOBEL (GB),Richard Rowe,,,,,,,83,,,83,,
AIKIDO (IRE),2018,GELDING,DANDY MAN (IRE),QUINTESSENZ (GER),Ewan Whillans,53,,,,,,,,,,,
AILES D'AMOUR (IRE),2015,GELDING,WINGED LOVE (IRE),ALLY ROSE (IRE),Ian Williams,,,,,,,,,,96,-3,
AILISH T (GB),2019,FILLY,BATED BREATH (GB),MEDDLING (GB),,49,,,,,,,,,,,
AIMEE DE SIVOLA (FR),2014,FILLY,NETWORK (GER),NEVA DE SIVOLA (FR),Mrs Jane Williams,,,,,,,114,-2,,114,-2,
AIMERIC (GB),2019,COLT,FRANKEL (GB),ARIS (IRE),Roger Varian,92,,,,,,,,,,,
AIMING HIGH (GB),2019,FILLY,LOPE DE VEGA (IRE),HIGH HOPES (GB),David Simcock,79,,,,,,,,,,,
AIN'T NO SUNSHINE (IRE),2016,GELDING,SHANTOU (USA),SCREAMING WITNESS (IRE),Keith Dalgleish,50,,,,,,,,,,,
AINSDALE (GB),2017,COLT,MAYSON (GB),BRUNI HEINKE (IRE),Julie Camacho,103,,,,,,,,,,,
AIR HAIR LAIR (IRE),2016,GELDING,ZEBEDEE (GB),BLOND BEAUTY (USA),Sheena West,48,,,,,,,,,,,
AIR RAID (GB),2015,GELDING,RAVEN'S PASS (USA),SIREN SOUND (GB),,94,,,89,,,,,,,,
AIR TO AIR (GB),2018,GELDING,TORONADO (IRE),BLOSSOM MILLS (GB),George Boughey,94,,,,,,,,,,,
AIRA FORCE (GB),2020,FILLY,OASIS DREAM (GB),DUBAI AFFAIR (GB),Daniel & Claire Kubler,73,,,,,,,,,,,
AIRE VALLEY APACHE (GB),2020,GELDING,DUE DILIGENCE (USA),GRACILIA (FR),,49,,,,,,,,,,,
AIRE VALLEY LAD (GB),2014,GELDING,SCHIAPARELLI (GER),BONNIE ROCK (IRE),Sue Smith,,,,,,,98,,,,,
AIRSHOW (GB),2015,GELDING,SHOWCASING (GB),BELLE DES AIRS (IRE),Rod Millman,72,,,,,,,,,,,
AIRTOTHETHRONE (IRE),2016,GELDING,YEATS (IRE),SORCILLERA (GB),Tim Vaughan,,,,,,,105,,,,,
AISH (GB),2018,FILLY,TWILIGHT SON (GB),CHANDRESH (GB),,56,,,,,,,,,,,
AJERO (IRE),2015,GELDING,RED JAZZ (USA),EOZ (IRE),Kim Bailey,98,,,,,,,,,,,
AJRAD (GB),2018,GELDING,NEW APPROACH (IRE),PRINCESS CAMMIE (IRE),Michael Attwater,66,,,,,,,,,,,
AKHU NAJLA (GB),2019,COLT,KINGMAN (GB),GALICUIX (GB),Roger Varian,98,,,,,,,,,,,
AKI BOMAYE (IRE),2015,GELDING,STOWAWAY (GB),LINE GREY (FR),Joe Tizzard,,,,,,,103,,,,,
AKKERINGA (GB),2018,GELDING,DUTCH ART (GB),ANNIE'S FORTUNE (IRE),,75,,,,,,,,,,,
AL AASY (IRE),2017,GELDING,SEA THE STARS (IRE),KITCARA (GB),William Haggas,117,,,,,,,,,,,
AL AGAILA (IRE),2019,FILLY,LOPE DE VEGA (IRE),L'AMOUR DE MA VIE (USA),Simon & Ed Crisford,92,,,,,,,,,,,
AL ALAALI (FR),2020,COLT,SHOWCASING (GB),FRESH AIR (IRE),Simon & Ed Crisford,78,,,,,,,,,,,
AL AMEEN (IRE),2019,GELDING,ACLAIM (IRE),KENDAL MINT (GB),George Boughey,74,,,,,,,,,,,
AL AZHAR (IRE),2019,GELDING,INVINCIBLE SPIRIT (IRE),ARABIAN COMET (IRE),Marcus Tregoning,71,,,,,,,,,,,
AL BAAHY (GB),2019,GELDING,KINGMAN (GB),SECRET KEEPER (GB),Kevin Frost,72,,,,,,,,,,,
AL DANCER (FR),2013,GELDING,AL NAMIX (FR),STEEL DANCER (FR),Sam Thomas,,,,,,,149,,,,,
AL GAIYA (FR),2017,FILLY,OLYMPIC GLORY (IRE),LATHAH (IRE),Joe Ponting,56,,,,,,,,,,,
AL GHANIM (GB),2020,GELDING,IFFRAAJ (GB),INALA (GB),Mark Loughnane,50,,,,,,,,,,,
AL HARGAH (IRE),2020,FILLY,MUHAARAR (GB),PLATINUM PEARL (GB),Richard Hannon,71,,,,,,,,,,,
AL HITMI (GB),2020,COLT,HARRY ANGEL (IRE),AZMA (USA),,65,,,,,,,,,,,
AL HUSN (IRE),2019,FILLY,DUBAWI (IRE),HADAATHA (IRE),Roger Varian,100,,,,,,,,,,,
AL KARRAR (IRE),2020,COLT,DARK ANGEL (IRE),MOGHAMARAH (GB),Tom Clover,106,,,,,,,,,,,
AL KHERB (GB),2015,GELDING,AL KAZEEM (GB),PERFECT SPIRIT (IRE),Sarah Bowen,53,,,,,,,,,,,
AL KOUT (GB),2014,GELDING,OASIS DREAM (GB),HONORLINA (FR),,61,,,67,,,,,,,,
AL MARMAR (IRE),2019,GELDING,KODIAC (GB),FRAULEIN (GB),Andrew Balding,90,,,,,,,,,,,
AL MOTASIM (GB),2020,COLT,LOPE DE VEGA (IRE),MAUREEN (IRE),Hugo Palmer,69,,,,,,,,,,,
