Name,Year,Sex,Sire,Dam,Trainer,Flat rating,Diff Flat,Flat Clltrl,AWT rating,Diff AWT,AWT Clltrl,Chase rating,Diff Chase,Chase Clltrl,Hurdle rating,Diff Hurdle,Hurdle Clltrl
COLONEL KEATING (IRE),2012,GELDING,YEATS (IRE),JABROOT (IRE),Richard Rowe,,,,,,,100,,,,,
COLONEL LESLEY (IRE),2016,GELDING,LILBOURNE LAD (IRE),TAGULA MON (IRE),Claire Harris,,,,,,,,,,82,,
COLONEL MANDERSON (FR),2016,GELDING,KAPGARDE (FR),PLAYACT (IRE),William Young Jnr,,,,,,,,,,107,,
COLONIAL EMPIRE (GB),2017,GELDING,ZOFFANY (IRE),SUSAN STROMAN (GB),Tim Vaughan,,,,,,,,,,108,,
COLONIAL LOVE (GB),2018,FILLY,AUSTRALIA (GB),FONDLY (IRE),Robyn Brisland,49,,,,,,,,,,,
COLONY QUEEN (GB),2016,FILLY,GREGORIAN (IRE),QUEEN MARGRETHE (GB),David Pipe,83,-2,,,,,,,,95,,
COLORS OF FREEDOM (GB),2020,FILLY,MAYSON (GB),SCARBOROUGH (IRE),Archie Watson,67,,,,,,,,,,,
COLOUR IMAGE (IRE),2017,GELDING,KODIAC (GB),CHROUSSA (IRE),Saeed bin Suroor,88,,,,,,,,,,,
COLTOR (IRE),2017,GELDING,FREE EAGLE (IRE),RECLAMATION (IRE),Roger Fell,85,,,,,,,,,135,,
COLTRANE (IRE),2017,GELDING,MASTERCRAFTSMAN (IRE),PROMISE ME (IRE),Andrew Balding,116,,,,,,,,,,,
COLUMN OF FIRE (IRE),2014,GELDING,ROBIN DES CHAMPS (FR),GHILLIE'S BAY (IRE),John Groucott,,,,,,,115,,,,,
COMBAT STYLE (IRE),2019,COLT,PROFITABLE (IRE),THAKAFAAT (IRE),,63,,,,,,,,,,,
COMBATANTCOMMANDER (GB),2019,COLT,ULYSSES (IRE),FINIDAPREST (IRE),,46,,,,,,,,,,,
COME MUSICA (ITY),2020,GELDING,MUHAARAR (GB),WINTER SERENADE (ITY),Marco Botti,70,,,,,,,,,,,
COME ON GIRL (GB),2017,FILLY,OUTSTRIP (GB),FLOATING (GB),Michael Appleby,60,,,,,,,,,,,
COME ON GRUFF (IRE),2016,GELDING,MAHLER (GB),ANNIE GRIT (IRE),Tom George,,,,,,,119,,,119,,
COME ON JOHN (IRE),2019,GELDING,KODIAC (GB),MISS GLITTERS (IRE),Michael Attwater,60,-1,,,,,,,,,,
COME ON TIER (FR),2015,GELDING,KENDARGENT (FR),MILWAUKEE (FR),Lee Carter,43,,,,,,,,,,,
COME TO PASS (IRE),2019,GELDING,MASTERCRAFTSMAN (IRE),CHITTENDEN (USA),Tony Carroll,54,,,,,,,,,,,
COME TOGETHER (IRE),2020,GELDING,GLENEAGLES (IRE),ZUT ALORS (IRE),Ralph Beckett,85,,,,,,,,,,,
COMEDAYGODAY (IRE),2017,FILLY,SOLDIER OF FORTUNE (IRE),WHATAGOA (IRE),Lizzie Quinlan,,,,,,,,,,102,,
COMEDIAN LEADER (GB),2020,FILLY,ACLAIM (IRE),LAST FRONTIER (FR),Gay Kelleway,77,+8,,,,,,,,,,
COMMANCHE FALLS (GB),2017,GELDING,LETHAL FORCE (IRE),JOYEAUX (GB),Michael Dods,112,,,,,,,,,,,
COMMANDER HECTOR (GB),2019,GELDING,POSTPONED (IRE),HECTOR'S GIRL (GB),,69,,,,,,,,,,,
COMMANDER MILLER (GB),2014,GELDING,SHIROCCO (GER),MILLIEGAIT (GB),Danni O'Neill,,,,,,,,,,87,,
COMMANDER OF TEN (IRE),2017,GELDING,DOYEN (IRE),SOME SPORT (IRE),Michael Scudamore,,,,,,,,,,108,,
COMMANDER STRAKER (IRE),2020,COLT,KODI BEAR (IRE),SLOVAK (IRE),David Loughnane,86,,,,,,,,,,,
COMMANDMENT (IRE),2019,FILLY,ACCLAMATION (GB),HEAVENLY NOTE (GB),,77,,,,,,,,,,,
COMMISSION (GB),2020,GELDING,PROFITABLE (IRE),MODIFY (GB),Marcus Tregoning,63,,,,,,,,,,,
COMMISSIONING (GB),2020,FILLY,KINGMAN (GB),SOVEREIGN PARADE (IRE),John & Thady Gosden,115,,,,,,,,,,,
COMMITTEE OF ONE (GB),2015,FILLY,UNIVERSAL (IRE),INKBERROW ROSE (IRE),Tom Gretton,,,,,,,,,,82,,
COMMODORE (FR),2012,GELDING,FRAGRANT MIX (IRE),MORVANDELLE (FR),Venetia Williams,,,,,,,138,,,,,
COMMODORE MILLER (GB),2017,GELDING,BLUE BRESIL (FR),MILLIEGAIT (GB),Danni O'Neill,,,,,,,,,,102,,
COMMON ACCLAIM (IRE),2020,COLT,ACCLAMATION (GB),CASUAL REMARK (IRE),Tim Easterby,74,,,,,,,,,,,
COMMUNICATION (GB),2020,FILLY,WAR FRONT (USA),SUSAN B ANTHONY (IRE),Clive Cox,67,,,,,,,,,,,
COMMUNION (GB),2019,GELDING,MATTMU (GB),GOLDEN NUN (GB),,48,,,,,,,,,,,
COMMUNITY REBEL (IRE),2016,GELDING,ASIAN HEIGHTS (GB),CNOCBUI CAILIN (IRE),James Ewart,,,,,,,,,,111,,
COMPANY MINX (IRE),2017,FILLY,FAST COMPANY (IRE),ICE HAVEN (IRE),J. R. Jenkins,46,,,,,,,,,,,
COMPASS POINT (GB),2015,GELDING,HELMET (AUS),TAKARNA (IRE),Robyn Brisland,45,,,,,,,,,,,
COMPERE (GB),2019,GELDING,GLENEAGLES (IRE),EMERGENT (GB),Michael Attwater,59,,,,,,,,,,,
COMPLETE UNKNOWN (IRE),2016,GELDING,DYLAN THOMAS (IRE),SILVER STREAM (IRE),Paul Nicholls,,,,,,,142,,,137,,
COMPLIANT (GB),2019,FILLY,PIVOTAL (GB),ROYAL SEAL (GB),James Fanshawe,74,,,,,,,,,,,
CONCEAL (IRE),2015,GELDING,STOWAWAY (GB),BABYSHAN (IRE),Billy Aprahamian,,,,,,,91,,,,,
CONCEITO (GB),2020,FILLY,DANDY MAN (IRE),OJAI (IRE),Michael Bell,41,,,,,,,,,,,
CONCEROE (IRE),2016,GELDING,YEATS (IRE),MADE IN KK (IRE),Ben Case,,,,,,,103,,,,,
CONCERT BOY (IRE),2020,COLT,KODIAC (GB),PERFECT FUN (GB),David O'Meara,72,,,,,,,,,,,
CONCETTO (FR),2017,GELDING,KAPGARDE (FR),LULU ROUGE (FR),Oliver Greenall & Josh Guerriero,,,,,,,100,new,,100,,
CONCIERGE (IRE),2016,GELDING,SOCIETY ROCK (IRE),WARM WELCOME (GB),Michael Attwater,69,,,,,,,,,,,
CONCORDE (GB),2020,COLT,SIXTIES ICON (GB),SILCA CHIAVE (GB),George Boughey,57,,,,,,,,,,,
CONCRETE KING (IRE),2014,GELDING,MOROZOV (USA),MAGS MILLAR (IRE),Neil Mulholland,,,,,,,102,-2,,102,-2,
CONFEDERATION (GB),2020,GELDING,BRAZEN BEAU (AUS),MY ANGEL (GB),Dylan Cunha,70,,,,,,,,,,,
CONFILS (FR),2016,FILLY,OLYMPIC GLORY (IRE),MAMBO MISTRESS (USA),George Baker,62,,,,,,,,,,,
CONFLICT (IRE),2019,COLT,NO NAY NEVER (USA),SOUND OF GUNS (GB),,84,,,,,,,,,,,
CONFRERIE (IRE),2015,GELDING,SOCIETY ROCK (IRE),INTELLIBET ONE (GB),,48,,,,,,,,,,,
CONGRESBURY (GB),2020,COLT,UNFORTUNATELY (IRE),ELEVENTH HOUR (IRE),Richard Hannon,73,,,,,,,,,,,
CONGRESS (GB),2020,COLT,WASHINGTON DC (IRE),LA CABANA (GB),Roger Fell,56,new,,,,,,,,,,
CONKWELL LEGEND (GB),2014,GELDING,MIDNIGHT LEGEND (GB),GALLIMAUFRY (GB),Neil Mulholland,,,,,,,119,,,,,
CONNA SUE (IRE),2016,FILLY,IMPERIAL MONARCH (IRE),RUNAROUND SUE (IRE),Nikki Evans,,,,,,,,,,84,,
CONNEMERA QUEEN (GB),2013,FILLY,MAJOR CADEAUX (GB),CASHLEEN (USA),,46,,,,,,,,,,,
CONNIE R (IRE),2019,FILLY,GUTAIFAN (IRE),AMURRA (GB),Michael Herrington,47,,,,,,,,,,,
CONNIE'S ROSE (GB),2019,FILLY,ADAAY (IRE),SING SO SWEETLY (GB),,58,,,,,,,,,,,
CONQUERING (GB),2019,GELDING,DABIRSIM (FR),FAUSTINATHEYOUNGER (IRE),,45,,,,,,,,,,,
CONQUEST OF POWER (GB),2020,GELDING,CITYSCAPE (GB),BIRCH COVE (FR),,70,,,,,,,,,,,
CONQUISTADOR (GB),2020,GELDING,U S NAVY FLAG (USA),EL DIAMANTE (FR),George Boughey,83,,,,,,,,,,,
CONQUREDALOFEUROPE (IRE),2015,GELDING,PRESENTING (GB),SLEEPLESS EYE (GB),Donald McCain,,,,,,,114,,,,,
CONSENSUS DE VEGA (IRE),2019,FILLY,LOPE DE VEGA (IRE),AMBASSADRICE (GB),,73,,,,,,,,,,,
CONSERVATIONIST (GB),2020,FILLY,MUHAARAR (GB),ZUHOOR BAYNOONA (IRE),Clive Cox,84,,,,,,,,,,,
CONSERVATIVE (IRE),2019,GELDING,CHURCHILL (IRE),FAIRY DANCER (IRE),Scott Dixon,78,,,,,,,,,,,
CONSTITUTION (GB),2020,GELDING,CHURCHILL (IRE),PACK TOGETHER (GB),Jamie Osborne,80,,,,,,,,,,,
CONSTITUTION HILL (GB),2017,GELDING,BLUE BRESIL (FR),QUEEN OF THE STAGE (IRE),Nicky Henderson,,,,,,,,,,173,,
CONTACT (IRE),2018,COLT,GUTAIFAN (IRE),LA TULIPE (FR),David & Nicola Barron,96,,,,,,,,,,,
CONTACTLESS (IRE),2019,GELDING,DANDY MAN (IRE),SHE'S A QUEEN (IRE),,51,,,56,,,,,,,,
CONTEMPLATEMYFAITH (IRE),2016,GELDING,CALIFET (FR),LISS A CHROI (IRE),Olly Murphy,,,,,,,112,,,,,
CONTINGENCY FEE (GB),2015,GELDING,HELMET (AUS),HEARSAY (GB),Phil McEntee,74,,,,,,,,,,,
CONTINUATION (IRE),2020,COLT,JAMES GARFIELD (IRE),SIGN FROM HEAVEN (IRE),,61,,,,,,,,,,,
CONTRAST (IRE),2014,GELDING,DUTCH ART (GB),ISRAAR (GB),Michael & David Easterby,59,,,63,,,,,,,,
CONTRE ORDRE (FR),2018,GELDING,MARTINBOROUGH (JPN),TURGA DE LA TOUR (FR),Micky Hammond,,,,,,,99,,,,,
CONTROL (GB),2019,FILLY,HAVANA GOLD (IRE),LOVE AND CHERISH (IRE),John Butler,60,,,,,,,,,,,
CONVECTION (GB),2019,FILLY,OASIS DREAM (GB),MECHANISM (GB),,72,,,,,,,,,,,
COO STAR SIVOLA (FR),2012,GELDING,ASSESSOR (IRE),SANTORINE (FR),Venetia Williams,,,,,,,122,,,,,
COOKIES AND CREME (GB),2019,FILLY,SIYOUNI (FR),COCONUT CREME (GB),,73,,,,,,,,,,,
COOL COUNTRY (IRE),2015,GELDING,DYLAN THOMAS (IRE),MAE'S CHOICE (IRE),,,,,,,,92,,,,,
COOL LIGHTNING (IRE),2019,FILLY,EXCEED AND EXCEL (AUS),COOL THUNDER (IRE),James Tate,66,,,,,,,,,,,
COOL PARTY (GB),2020,COLT,POSTPONED (IRE),PARTY LINE (GB),Charlie Johnston,84,,,,,,,,,,,
COOL RAIN (IRE),2016,FILLY,YEATS (IRE),CATLEEN (IRE),,,,,,,,,,,90,,
COOL SPIRIT (GB),2015,GELDING,SWISS SPIRIT (GB),MARMOT BAY (IRE),,44,,,48,,,,,,,,
COOL VIXEN (IRE),2017,FILLY,DANDY MAN (IRE),COOL TARIFA (IRE),,59,-2,,,,,,,,,,
COOLAGH MAGIC (GB),2016,GELDING,SEPOY (AUS),MILIIKA (GB),Robyn Brisland,59,,,64,,,,,,,,
COOLBANE BOY (IRE),2015,GELDING,MOUNTAIN HIGH (IRE),EASTER SATURDAY (IRE),Sandy Thomson,,,,,,,,,,126,,
COOLE CODY (IRE),2011,GELDING,DUBAI DESTINATION (USA),RUN FOR COVER (IRE),Evan Williams,,,,,,,143,,,,,
COOLKILL (IRE),2014,GELDING,ARCADIO (GER),ELISABETTA (IRE),Sandy Thomson,,,,,,,,,,97,,
COOLMOYNE (GB),2016,GELDING,OCOVANGO (GB),HIGH LIFE (GB),Simon Waugh,,,,,,,87,,,,,
COOLNAUGH HAZE (IRE),2018,GELDING,LAWMAN (FR),MIDAS HAZE (GB),Philip Hobbs,,,,,,,,,,110,,
COOLVALLA (IRE),2016,GELDING,WESTERNER (GB),VALLEYBOGGAN (IRE),Chris Gordon,,,,,,,130,+13,,,,
COOPER'S CROSS (IRE),2015,GELDING,GETAWAY (GER),ROCELLA (GER),Stuart Coltherd,,,,,,,133,,,,,
COOPERATION (IRE),2018,GELDING,MEHMAS (IRE),RIPALONG (IRE),Mike Murphy & Michael Keady,77,,,,,,,,,,,
COPAKE (IRE),2018,GELDING,KODIAC (GB),ALLEGATION (FR),,46,,,,,,,,,,,
COPPER AND FIVE (GB),2016,GELDING,PACO BOY (IRE),PEACHEZ (GB),Ruth Carr,72,,,,,,,,,,,
COPPER BEACH (IRE),2017,GELDING,GETAWAY (GER),LADY MCBRIDE (IRE),Sue Smith,,,,,,,,,,104,-1,collateral
COPPER COIN (GB),2013,GELDING,SULAMANI (IRE),SILKEN PEARLS (GB),Michael Scudamore,,,,,,,,,,130,,
COPPER COVE (IRE),2017,GELDING,JET AWAY (GB),CHERRY ISLAND (IRE),Jonjo O'Neill,,,,,,,,,,106,new,
COPPER FOX (GB),2017,GELDING,BLACK SAM BELLAMY (IRE),PRINCESS ORIANE (IRE),,,,,,,,101,,,101,,
COPPER KNIGHT (IRE),2014,GELDING,SIR PRANCEALOT (IRE),MYSTIC DREAM (GB),Tim Easterby,90,,,,,,,,,,,
COPPER MOUNTAIN (GB),2019,FILLY,SIR PERCY (GB),AETNA (GB),Michael & David Easterby,59,,,,,,,,,,,
COPPERFASTEN (IRE),2017,FILLY,FLEMENSFIRTH (USA),COPPER DUSHT (IRE),Tim Vaughan,,,,,,,,,,110,,
COPPERHEAD (GB),2014,GELDING,SULAMANI (IRE),HOW'S BUSINESS (GB),Joe Tizzard,,,,,,,127,-4,,122,-4,
COPPERKNOB (IRE),2019,COLT,CHURCHILL (IRE),MIRONICA (IRE),Gary Moore,67,,,,,,,,,,,
COPPERLINE (IRE),2019,GELDING,DANDY MAN (IRE),MEDUSE BLEU (GB),,43,,,,,,,,,,,
COPPERPLATE (GB),2019,GELDING,NATHANIEL (IRE),ROSIKA (GB),,59,,,,,,,,,,,
COPSHILL LAD (IRE),2018,GELDING,KINGSTON HILL (GB),UNA SORPRESA (GER),Milton Harris,,,,,,,,,,111,,
COPY ARTIST (GB),2020,FILLY,NO NAY NEVER (USA),SLEEP WALK (GB),Andrew Balding,79,,,,,,,,,,,
COQUELICOT (FR),2016,FILLY,SOLDIER OF FORTUNE (IRE),MOSCOW NIGHTS (FR),Anthony Honeyball,,,,,,,,,,127,,
CORACH RAMBLER (IRE),2014,GELDING,JEREMY (USA),HEART N HOPE (IRE),Lucinda Russell,,,,,,,146,,,,,
CORAJE (GB),2020,FILLY,EXPERT EYE (GB),OMNEEYA (GB),,62,,,,,,,,,,,
CORAL BLUE (IRE),2015,GELDING,BIG BAD BOB (IRE),EVA'S TIME (IRE),Daragh Bourke,,,,,,,,,,94,,
CORAL REEF (IRE),2020,FILLY,INVINCIBLE SPIRIT (IRE),MEHRONISSA (GB),Archie Watson,62,-1,,,,,,,,,,
CORAZON (IRE),2019,FILLY,MARKAZ (IRE),DISKO (IRE),,90,,,,,,,,,,,
CORAZON ESPINADO (IRE),2015,COLT,IFFRAAJ (GB),THREE DECADES (IRE),,85,,,,,,,,,,,
CORDEY DANCER (FR),2017,FILLY,AUTHORIZED (IRE),AVOCA DANCER (IRE),,57,,,,,,,,,,,
COREY'S COURAGE (GB),2016,FILLY,DUNADEN (FR),VALDAS QUEEN (GER),Olly Murphy,,,,,,,,,,107,-4,
CORINTHIA KNIGHT (IRE),2015,GELDING,SOCIETY ROCK (IRE),VICTORIA LODGE (IRE),Archie Watson,71,-2,,62,-2,,,,,,,
CORINTHIAN KID (IRE),2020,FILLY,KODI BEAR (IRE),COLUMBIA KID (IRE),Jonathan Portman,71,-3,,,,,,,,,,
CORMIER (IRE),2016,GELDING,BORN TO SEA (IRE),SCOTCH BONNET (IRE),Brian Ellison,84,,,80,,,136,,,136,,
CORNDAVON LAD (IRE),2017,GELDING,CAMACHO (GB),WILD WAYS (GB),,47,,,,,,,,,,,
CORNELL (GB),2018,GELDING,CANNOCK CHASE (USA),TSARINA LOUISE (GB),John Davies,42,,,,,,,,,82,,
CORNERSTONE LAD (GB),2014,GELDING,DELEGATOR (GB),CHAPEL CORNER (IRE),Micky Hammond,,,,,,,134,,,,,
CORNICELLO (FR),2018,GELDING,PENNY'S PICNIC (IRE),BREEZY HAWK (GER),Jamie Snowden,,,,,,,,,,109,,
CORNISH STORM (GB),2019,GELDING,COACH HOUSE (IRE),DANCING STORM (GB),Stuart Kittow,50,,,,,,,,,,,
CORONADO JOE (GB),2016,GELDING,NORSE DANCER (IRE),HOPATINA (IRE),Chris Gordon,,,,,,,87,,,87,,
CORONATION COTTAGE (GB),2014,FILLY,PASTORAL PURSUITS (GB),AVRILO (GB),Malcolm Saunders,55,,,,,,,,,,,
CORPORATE RAIDER (IRE),2020,GELDING,PROFITABLE (IRE),ZENELLA (GB),Julia Feilden,61,,,,,,,,,,,
CORRAN CROSS (IRE),2015,GELDING,DOYEN (IRE),STEEL LADY (IRE),Richard Bandey,,,,,,,123,,,,,
CORRANY (IRE),2014,GELDING,COURT CAVE (IRE),TIME FOR AN AUDIT (GB),Richard Phillips,,,,,,,97,,,,,
CORRIEBEN REIVER (GB),2014,GELDING,MALINAS (GER),WILD CHILD LUCY (GB),Ewan Whillans,,,,,,,124,,,124,,
CORRIGEEN ROCK (IRE),2017,GELDING,WESTERNER (GB),SET IN HER WAYS (IRE),Lucinda Russell,,,,,,,127,,,,,
CORSICAN CAPER (IRE),2020,COLT,FAST COMPANY (IRE),KANSHE (IRE),Kevin Philippart de Foy,67,,,,,,,,,,,
CORSINI (IRE),2019,FILLY,MASTERCRAFTSMAN (IRE),IL PALAZZO (USA),Kevin Philippart de Foy,58,,,,,,,,,,,
CORVAIR (IRE),2017,GELDING,TORONADO (IRE),NAGHAM (IRE),Antony Brittain,64,,,,,,,,,,,
COSA SARA (IRE),2018,FILLY,GLENEAGLES (IRE),ANTIQUE PLATINUM (IRE),Jim Goldie,52,,,,,,,,,,,
COSMIC DESERT (GB),2019,GELDING,NEW APPROACH (IRE),BLOSSOMTIME (GB),,91,,,,,,,,,,,
COSMIC OUTLAW (IRE),2016,GELDING,ARCTIC COSMOS (USA),GOLDEN MORO (IRE),Rose Dobbin,,,,,,,,,,108,,
COSMIC POWER (IRE),2017,GELDING,POWER (GB),DHAMMA (USA),,69,,,,,,,,,,,
COSMIC STAR (GB),2018,FILLY,CHARM SPIRIT (IRE),REACHING AHEAD (USA),Mark Loughnane,46,,,,,,,,,,,
COSMOS RAJ (GB),2018,GELDING,IFFRAAJ (GB),COSMOS PINK (GB),David O'Meara,77,,,,,,,,,,,
COSTA ADEJE (IRE),2019,GELDING,COTAI GLORY (GB),PENNY ROUGE (IRE),,55,,,,,,,,,,,
COTAI CLASS (IRE),2019,GELDING,COTAI GLORY (GB),CLASSY LASSY (IRE),,57,,,,,,,,,,,
COTAI PEARL (IRE),2020,FILLY,COTAI GLORY (GB),CLEF (GB),,80,,,,,,,,,,,
COTAI STAR (IRE),2019,GELDING,COTAI GLORY (GB),STAR OF MALTA (GB),,68,,,,,,,,,,,
COTAI WEST (IRE),2019,FILLY,COTAI GLORY (GB),CAPOTE WEST (USA),Kevin Ryan,71,,,,,,,,,,,
COTE D'AZUR (GB),2013,GELDING,CHAMPS ELYSEES (GB),FLORENTIA (GB),,63,,,,,,,,,,,
COTTAM LANE (GB),2018,GELDING,TWILIGHT SON (GB),ALSIUM (IRE),Nigel Tinkler,69,,,,,,,,,,,
COTTON END (IRE),2014,FILLY,SCORPION (IRE),SCARTARA (FR),Sheila Lewis,,,,,,,107,,,,,
COUL UNIVERSE (IRE),2019,GELDING,COULSTY (IRE),UNIVERSAL CIRCUS (GB),P. Charalambous & J. Clutterbuck,43,,,,,,,,,,,
COULD BE TROUBLE (IRE),2015,FILLY,YEATS (IRE),SHE'S NO TROUBLE (IRE),Donald McCain,,,,,,,118,,,118,,
COULD TALKABOUTIT (IRE),2017,GELDING,KAYF TARA (GB),GLEN COUNTESS (IRE),Joe Tizzard,,,,,,,123,,,,,
COULDBEAWEAPON (IRE),2017,GELDING,MAHLER (GB),WILD FUCHSIA (IRE),Ben Pauling,,,,,,,,,,110,,
COULDN'T COULD SHE (GB),2015,FILLY,SIXTIES ICON (GB),EMPERATRIZ (GB),,51,,,,,,,,,,,
COULDNTGIVAMONKEYS (IRE),2018,GELDING,VALIRANN (FR),MONETS DREAM (IRE),R. Mike Smith,,,,,,,,,,96,,
COUNSEL (GB),2018,GELDING,FRANKEL (GB),HONORINA (GB),Ian Williams,77,,,,,,,,,,,
COUNT D'ORSAY (IRE),2016,GELDING,DANDY MAN (IRE),DEIRA (USA),Tim Easterby,79,,,,,,,,,,,
COUNT OTTO (IRE),2015,GELDING,SIR PRANCEALOT (IRE),DESSERT FLOWER (IRE),Amanda Perrett,85,,,,,,,,,,,
COUNTER (GB),2020,COLT,LOPE DE VEGA (IRE),RIPOSTE (GB),,78,,,,,,,,,,,
COUNTERACT (GB),2015,GELDING,DR MASSINI (IRE),AIMIGAYLE (GB),Suzy Smith,,,,,,,84,,,,,
COUNTERATTACK (GB),2019,GELDING,FRANKEL (GB),IMPALA (GB),,53,,,,,,,,,,,
COUNTESS KESS (IRE),2020,FILLY,KESSAAR (IRE),OPINIONATED LADY (IRE),Paul Midgley,58,,,,,,,,,,,
COUNTESS OLIVIA (IRE),2017,FILLY,RULER OF THE WORLD (IRE),TWELFTH NIGHT (IRE),Micky Hammond,40,,,,,,,,,,,
COUNTRY CHARM (GB),2018,FILLY,CHARMING THOUGHT (GB),ALUSHTA (GB),Scott Dixon,44,,,,,,,,,,,
COUNTRY KITTEN (IRE),2015,FILLY,RECITAL (FR),KITTY TRUE (IRE),Max Young,,,,,,,76,-3,,,,
COUNTRY PYLE (GB),2018,FILLY,NEW APPROACH (IRE),LA PYLE (FR),William Muir & Chris Grassick,79,,,,,,,,,,,
COUP DE FORCE (GB),2019,FILLY,LETHAL FORCE (IRE),DILGURA (GB),Stuart Kittow,74,,,,,,,,,,,
COUP DE GOLD (IRE),2016,GELDING,MAXIOS (GB),ASTROGLIA (USA),David Thompson,44,,,,,,,,,88,,
COUP DE PINCEAU (FR),2012,GELDING,BUCK'S BOUM (FR),CASTAGNETTE III (FR),Syd Hosie,,,,,,,127,,,,,
COUPDEBOL (FR),2015,GELDING,RAJSAMAN (FR),CHANCE BLEUE (FR),Tom George,,,,,,,109,,,,,
COURAGE MON AMI (GB),2019,COLT,FRANKEL (GB),CRIMSON RIBBON (USA),John & Thady Gosden,98,,,,,,,,,,,
COURT AT SLIP (IRE),2017,GELDING,COURT CAVE (IRE),LADY FAME (IRE),Tim Easterby,,,,,,,103,,,,,
COURT DREAMING (IRE),2013,GELDING,COURT CAVE (IRE),LOUIS'S TEFFIA (IRE),Nicky Richards,,,,,,,112,,,112,,
COURT JUSTICE (IRE),2017,GELDING,COURT CAVE (IRE),KILLOGAN LASS (IRE),Philip Kirby,,,,,,,,,,68,,
COURT OF SESSION (GB),2019,GELDING,IFFRAAJ (GB),SIBILANCE (GB),Simon & Ed Crisford,83,,,89,,,,,,,,
COURT ROYALE (IRE),2013,GELDING,COURT CAVE (IRE),WINDSOR DANCER (IRE),Evan Williams,,,,,,,104,,,104,,
COURTANDBOULD (IRE),2014,GELDING,COURT CAVE (IRE),SEANEEN MAC RI (IRE),,,,,,,,103,,,103,,
COURTINTHEMIDDLE (IRE),2011,GELDING,COURT CAVE (IRE),KILMESSAN (IRE),,,,,,,,69,,,69,,
COURTLAND (IRE),2015,GELDING,COURT CAVE (IRE),MEDIA VIEW (IRE),Peter Bowen,,,,,,,114,,,,,
COURTNBOWLED (IRE),2020,GELDING,DRAGON PULSE (IRE),DUNLEER (IRE),Tim Easterby,42,,,,,,,,,,,
COURTSIDE (FR),2015,GELDING,SIYOUNI (FR),MEMOIRE (FR),Sean Curran,68,,,,,,,,,,,
COUSIN PASCAL (FR),2012,GELDING,GREAT PRETENDER (IRE),TANTE ZOE (FR),J. J. O'Shea,,,,,,,120,-4,,,,
COUSU MAIN (FR),2016,GELDING,BUCK'S BOUM (FR),JUST PEGASUS (USA),Neil Mulholland,,,,,,,,,,115,,
COVERDALE (IRE),2020,COLT,EXPERT EYE (GB),BRYNICA (FR),Edward Bethell,74,,,,,,,,,,,
COVERT MISSION (FR),2018,GELDING,LOPE DE VEGA (IRE),BEACH BELLE (GB),Kevin Philippart de Foy,69,,,,,,,,,,,
COWBOY (IRE),2019,GELDING,DARK ANGEL (IRE),SEA OF GRACE (IRE),Neil Mulholland,56,,,,,,,,,,,
COWBOY COOPER (IRE),2016,GELDING,FRAMMASSONE (IRE),BALL PARK (IRE),Donald Whillans,,,,,,,,,,87,,
COWBOY SOLDIER (IRE),2015,GELDING,KODIAC (GB),URGELE (FR),Colin Teague,52,,,,,,,,,,,
CRACK DU NINIAN (FR),2015,GELDING,LE HOUSSAIS (FR),SYPHALINE (FR),Jennie Candlish,,,,,,,102,,,,,
CRACK REGIMENT (FR),2017,GELDING,SIYOUNI (FR),COIFFURE (GB),Henry Spiller,71,,,,,,,,,,,
CRACKING FIND (IRE),2011,GELDING,ROBIN DES PRES (FR),CRACK THE KICKER (IRE),Sue Smith,,,,,,,89,-5,,,,
CRACKLING (IRE),2016,GELDING,VALE OF YORK (IRE),ALMATLAIE (USA),Scott Dixon,58,,,,,,,,,,,
CRACKOVIA (GB),2020,FILLY,CRACKSMAN (GB),OLVIA (IRE),Charlie Johnston,92,,,,,,,,,,,
CRAFT IN SILK (IRE),2019,FILLY,MASTERCRAFTSMAN (IRE),SILKWOOD (GB),,59,,,,,,,,,,,
CRAFTER (IRE),2018,GELDING,MUHAARAR (GB),BOSTON ROCKER (IRE),Mark Loughnane,74,,,,,,,,,,,
CRAFTY LADY (GB),2019,FILLY,MASTERCRAFTSMAN (IRE),KINDU (GB),Sam England,62,,,,,,,,,,,
CRAGSIDE (GB),2018,GELDING,PRIDE OF DUBAI (AUS),UMNEEYATEE (AUS),,55,,,,,,,,,,,
CRAIC AT DAWN (IRE),2019,GELDING,DAWN APPROACH (IRE),SUPER HOOFER (IRE),David Loughnane,59,,,,,,,,,,,
CRAIC MAGIC (IRE),2015,GELDING,OSCAR (IRE),CHANTOUE ROYALE (FR),Nicky Martin,,,,,,,,,,103,,
CRAVEN (GB),2020,COLT,HAVANA GOLD (IRE),MORANT BAY (IRE),Richard Fahey,74,,,,,,,,,,,
CRAWFORD (GB),2016,GELDING,KAYF TARA (GB),MAID OF OAKSEY (GB),Mark Bradstock,,,,,,,88,,,88,,
CRAZY LUCK (GB),2018,FILLY,TWILIGHT SON (GB),SUERTE LOCA (IRE),Rod Millman,82,,,,,,,,,,,
CRAZY MAISIE (IRE),2019,FILLY,BELARDO (IRE),CIRCLEOFINFLUENCE (USA),Mark Hoad,59,-1,,,,,,,,,,
CRAZY SPIN (GB),2016,FILLY,EPAULETTE (AUS),GEORGE'S GIFT (GB),Ivan Furtado,48,-1,,,,,,,,,,
CRAZYLAND (GB),2019,FILLY,KODIAC (GB),IMPERIALISTIC DIVA (IRE),,89,,,,,,,,,,,
