Stallion,Offered,Sold,High £,Av. £,Med. £,Colt Av. £,Colt Med. £,Filly Av. £,Filly Med. £,year,age
Al Wukair,26,22,"32,106","10,907","9,163","11,174","9,545","10,522","8,782",2022,yearling
Amaron,24,18,"42,466","13,840","9,100","13,155","8,544","14,526","9,533",2022,yearling
Adaay,18,15,"42,000","12,629","9,023","9,094","6,825","22,350","20,550",2022,yearling
Poet's Word,29,20,"32,460","10,461","9,012","11,459","10,007","4,804","4,500",2022,yearling
Belardo,48,41,"131,250","13,043","8,969","18,532","14,350","6,688","5,585",2022,yearling
Gustav Klimt,40,36,"60,000","15,938","8,815","21,583","16,991","10,886","8,071",2021,yearling
Adaay,33,30,"68,250","15,361","8,694","16,391","8,989","13,581","6,796",2021,yearling
Seahenge,32,24,"41,651","11,352","8,677","10,272","7,796","12,433","9,111",2022,yearling
Ruler of the World,15,11,"21,076","10,735","8,677","11,307","8,729","10,049","7,025",2022,yearling
The Gurkha,14,11,"18,987","9,106","8,631","10,286","9,769","7,690","7,677",2021,yearling
Free Eagle,39,29,"157,500","18,451","8,631","25,785","9,769","6,450","3,884",2021,yearling
Aclaim,38,29,"85,337","19,894","8,631","23,791","13,125","16,728","8,515",2021,yearling
Born to Sea,24,19,"23,998","9,659","8,571","9,534","8,571","9,797","7,221",2021,yearling
Seahenge,39,31,"51,048","14,512","8,571","16,323","8,999","11,220","8,464",2021,yearling
Isfahan,15,11,"102,534","20,910","8,544","11,335","8,544","28,890","9,704",2022,yearling
Ectot,16,12,"59,250","16,931","8,528","14,990","7,889","18,873","9,839",2021,yearling
Charm Spirit,38,33,"89,250","13,570","8,500","12,390","10,500","14,986","6,300",2021,yearling
Recorder,22,18,"101,571","16,475","8,464","12,042","7,216","22,017","8,464",2021,yearling
Whitecliffsofdover,15,11,"18,718","8,088","8,464","7,603","8,464","8,938","6,803",2021,yearling
Maxios,23,15,"29,000","10,959","8,447","13,357","10,500","7,362","7,379",2022,yearling
Gregorian,26,21,"120,750","15,222","8,400","11,303","12,600","18,162","7,066",2021,yearling
Dariyan,19,17,"43,387","11,555","8,117","9,098","8,117","16,060","11,931",2022,yearling
Ectot,14,11,"21,693","9,240","7,868","10,991","8,677","8,583","7,617",2022,yearling
Unfortunately,17,14,"42,000","11,920","7,867","14,873","8,593","6,603","5,156",2022,yearling
National Defense,20,17,"50,400","10,676","7,768","16,000","11,651","4,686","3,610",2021,yearling
Taj Mahal,16,12,"36,476","8,870","7,379","18,527","10,422","5,651","5,211",2022,yearling
Equiano,13,11,"54,600","13,452","7,350","21,262","14,175","8,989","6,300",2022,yearling
Smooth Daddy,22,16,"120,000","17,817","7,247","20,771","8,323","8,954","3,398",2021,yearling
El Kabeir,38,34,"45,000","11,424","7,175","14,310","11,023","9,850","6,755",2022,yearling
Kuroshio,41,32,"102,405","11,857","7,069","13,561","8,199","9,367","6,371",2021,yearling
Massaat,25,19,"35,000","11,607","6,874","11,723","6,437","11,410","14,700",2022,yearling
Olympic Glory,49,36,"76,572","9,839","6,797","6,809","5,079","14,082","8,508",2021,yearling
Harzand,26,18,"31,500","10,397","6,659","13,908","12,558","8,642","5,964",2022,yearling
Kuroshio,49,38,"120,000","15,069","6,507","18,883","7,602","10,358","4,296",2022,yearling
Decorated Knight,20,18,"50,000","14,025","6,386","22,196","20,227","9,939","6,123",2021,yearling
Outstrip,22,13,"22,121","6,022","6,300","5,124","6,500","7,069","5,709",2021,yearling
Dragon Pulse,62,55,"46,000","9,854","6,300","11,427","7,336","7,307","5,000",2021,yearling
National Defense,16,15,"38,850","12,505","6,278","10,747","6,278","23,936","23,936",2022,yearling
Unfortunately,23,17,"65,100","13,565","6,200","16,867","11,000","7,512","5,173",2021,yearling
Areion,17,12,"60,006","18,230","6,167","24,696","14,043","5,298","5,273",2021,yearling
Dariyan,22,17,"26,239","8,240","6,110","7,553","5,925","9,014","7,010",2021,yearling
Postponed,29,25,"34,650","10,737","6,074","13,522","6,904","5,785","3,675",2022,yearling
Tai Chi,18,13,"20,800","7,482","6,067","7,245","6,067","8,016","6,500",2022,yearling
Hot Streak,19,12,"16,000","6,335","6,000","5,298","4,493","8,408","6,675",2021,yearling
